item,item_create,item_los,date
プレーン 2斤,27,0,2023/9/2
純生 2斤,21,0,2023/9/2
栗　1斤,31,0,2023/9/2
柚子一斤,0,0,2023/9/2
ホイップバター,8,0,2023/9/2
天使のクロワッサン,31,0,2023/9/2
塩トリュフクロワッサン,16,0,2023/9/2
チョコレートクロワッサン,12,0,2023/9/2
ストロベリークロワッサン,2,0,2023/9/2
ホワイトチョコクロワッサン,4,0,2023/9/2
アーモンドダマンドクロワッサン,9,0,2023/9/2
アールグレイダマンドクロワッサン,3,0,2023/9/2
ほうじ茶ダマンドクロワッサン,3,0,2023/9/2
カボチャサラダクロワッサン,2,0,2023/9/2
板チョコバタークロワッサン,0,0,2023/9/2
ソーセージクロワッサン,12,0,2023/9/2
パストラミクロワッサン,1,0,2023/9/2
生ハムクロワッサン,3,0,2023/9/2
レモンとピスタチオのクロワッサン,2,0,2023/9/2
ささみカツバーガー,8,0,2023/9/2
アラビアータバーガー,8,0,2023/9/2
照り焼きチキンバーガ,8,0,2023/9/2
明太マヨコロッケバー,3,0,2023/9/2
シーザーサラダバーガ,0,0,2023/9/2
ツナチェダーバーガー,3,0,2023/9/2
悪魔のカレーパン,19,0,2023/9/2
とうもろこしクロックムッシュ,10,0,2023/9/2
明太ペペロンチーノフランス,6,0,2023/9/2
明太チーズオムレツサンド,0,0,2023/9/2
トマトとリコッタのタルティーヌ,4,0,2023/9/2
チョリソーとキャベツのタルティーヌ,3,0,2023/9/2
シラスとキノコのタルティーヌ,4,0,2023/9/2
夏野菜とチーズのタルティーヌ,6,0,2023/9/2
あんバタートースト,11,0,2023/9/2
ベリーとクリームチーズのハニートースト,4,0,2023/9/2
カボチャのクリームパン,0,0,2023/9/2
きな粉とくるみのあんバター,0,0,2023/9/2
ボストック,0,0,2023/9/2
チョコマフィン,0,0,2023/9/2
レモンカスタードマフ,4,0,2023/9/2
ストロベリーマフィン,0,0,2023/9/2
シャインマスカットのフルーツパイ,8,0,2023/9/2
シナモンロール,4,0,2023/9/2
レモンアールグレイのクロッフィン,0,0,2023/9/2
シュガーラスク,9,0,2023/9/2
シナモンラスク,4,0,2023/9/2
チョコラスク,4,0,2023/9/2
ストロベリーラスク,0,0,2023/9/2
ホワイトラスク,2,0,2023/9/2
極上プリン カップtak,8,0,2023/9/2
ほうじ茶プリン カッ,4,0,2023/9/2
極上プリン　ビン　Ta,4,0,2023/9/2
フレンチトーストtake,5,0,2023/9/2
バスクチーズtake,1,0,2023/9/2
冷やしパンケーキ,15,0,2023/9/2
冷やしパンケーキ　8,1,0,2023/9/2
プレーン 2斤,27,0,2023/9/3
純生 2斤,20,0,2023/9/3
栗　1斤,29,0,2023/9/3
柚子一斤,0,0,2023/9/3
ホイップバター,15,0,2023/9/3
天使のクロワッサン,30,0,2023/9/3
塩トリュフクロワッサン,12,0,2023/9/3
チョコレートクロワッサン,20,0,2023/9/3
ストロベリークロワッサン,3,0,2023/9/3
ホワイトチョコクロワッサン,4,0,2023/9/3
アーモンドダマンドクロワッサン,10,0,2023/9/3
アールグレイダマンドクロワッサン,5,0,2023/9/3
ほうじ茶ダマンドクロワッサン,3,0,2023/9/3
カボチャサラダクロワッサン,2,0,2023/9/3
板チョコバタークロワッサン,0,0,2023/9/3
ソーセージクロワッサン,10,0,2023/9/3
パストラミクロワッサン,0,0,2023/9/3
生ハムクロワッサン,3,0,2023/9/3
レモンとピスタチオのクロワッサン,2,0,2023/9/3
ささみカツバーガー,8,0,2023/9/3
アラビアータバーガー,7,0,2023/9/3
照り焼きチキンバーガ,5,0,2023/9/3
明太マヨコロッケバー,3,0,2023/9/3
シーザーサラダバーガ,0,0,2023/9/3
ツナチェダーバーガー,3,0,2023/9/3
悪魔のカレーパン,26,0,2023/9/3
とうもろこしクロックムッシュ,10,0,2023/9/3
明太ペペロンチーノフランス,6,0,2023/9/3
明太チーズオムレツサンド,0,0,2023/9/3
トマトとリコッタのタルティーヌ,5,0,2023/9/3
チョリソーとキャベツのタルティーヌ,2,0,2023/9/3
シラスとキノコのタルティーヌ,4,0,2023/9/3
夏野菜とチーズのタルティーヌ,7,0,2023/9/3
あんバタートースト,11,0,2023/9/3
ベリーとクリームチーズのハニートースト,4,0,2023/9/3
カボチャのクリームパン,0,0,2023/9/3
きな粉とくるみのあんバター,0,0,2023/9/3
ボストック,0,0,2023/9/3
チョコマフィン,1,0,2023/9/3
レモンカスタードマフ,8,0,2023/9/3
ストロベリーマフィン,0,0,2023/9/3
シャインマスカットのフルーツパイ,9,0,2023/9/3
シナモンロール,4,0,2023/9/3
レモンアールグレイのクロッフィン,1,0,2023/9/3
シュガーラスク,1,0,2023/9/3
シナモンラスク,1,0,2023/9/3
チョコラスク,0,0,2023/9/3
ストロベリーラスク,0,0,2023/9/3
ホワイトラスク,0,0,2023/9/3
極上プリン カップtak,37,0,2023/9/3
ほうじ茶プリン カッ,10,0,2023/9/3
極上プリン　ビン　Ta,1,0,2023/9/3
フレンチトーストtake,4,0,2023/9/3
バスクチーズtake,7,0,2023/9/3
冷やしパンケーキ,19,0,2023/9/3
冷やしパンケーキ　8,0,0,2023/9/3
プレーン 2斤,13,0,2023/9/4
純生 2斤,14,0,2023/9/4
栗　1斤,22,0,2023/9/4
柚子一斤,0,0,2023/9/4
ホイップバター,11,0,2023/9/4
天使のクロワッサン,15,0,2023/9/4
塩トリュフクロワッサン,12,0,2023/9/4
チョコレートクロワッサン,11,0,2023/9/4
ストロベリークロワッサン,3,0,2023/9/4
ホワイトチョコクロワッサン,2,0,2023/9/4
アーモンドダマンドクロワッサン,5,0,2023/9/4
アールグレイダマンドクロワッサン,2,0,2023/9/4
ほうじ茶ダマンドクロワッサン,2,0,2023/9/4
カボチャサラダクロワッサン,0,0,2023/9/4
板チョコバタークロワッサン,0,0,2023/9/4
ソーセージクロワッサン,5,0,2023/9/4
パストラミクロワッサン,2,0,2023/9/4
生ハムクロワッサン,2,0,2023/9/4
レモンとピスタチオのクロワッサン,0,0,2023/9/4
ささみカツバーガー,3,0,2023/9/4
アラビアータバーガー,4,0,2023/9/4
照り焼きチキンバーガ,4,0,2023/9/4
明太マヨコロッケバー,0,0,2023/9/4
シーザーサラダバーガ,0,0,2023/9/4
ツナチェダーバーガー,2,0,2023/9/4
悪魔のカレーパン,12,0,2023/9/4
とうもろこしクロックムッシュ,8,0,2023/9/4
明太ペペロンチーノフランス,4,0,2023/9/4
明太チーズオムレツサンド,0,0,2023/9/4
トマトとリコッタのタルティーヌ,3,0,2023/9/4
チョリソーとキャベツのタルティーヌ,2,0,2023/9/4
シラスとキノコのタルティーヌ,2,0,2023/9/4
夏野菜とチーズのタルティーヌ,4,0,2023/9/4
あんバタートースト,6,0,2023/9/4
ベリーとクリームチーズのハニートースト,3,0,2023/9/4
カボチャのクリームパン,0,0,2023/9/4
きな粉とくるみのあんバター,0,0,2023/9/4
ボストック,0,0,2023/9/4
チョコマフィン,0,0,2023/9/4
レモンカスタードマフ,4,0,2023/9/4
ストロベリーマフィン,0,0,2023/9/4
シャインマスカットのフルーツパイ,8,0,2023/9/4
シナモンロール,2,0,2023/9/4
レモンアールグレイのクロッフィン,0,0,2023/9/4
シュガーラスク,3,0,2023/9/4
シナモンラスク,0,0,2023/9/4
チョコラスク,0,0,2023/9/4
ストロベリーラスク,0,0,2023/9/4
ホワイトラスク,0,0,2023/9/4
極上プリン カップtak,30,0,2023/9/4
ほうじ茶プリン カッ,1,0,2023/9/4
極上プリン　ビン　Ta,0,0,2023/9/4
フレンチトーストtake,3,0,2023/9/4
バスクチーズtake,5,0,2023/9/4
冷やしパンケーキ,10,0,2023/9/4
冷やしパンケーキ　8,1,0,2023/9/4
プレーン 2斤,19,0,2023/9/5
純生 2斤,8,0,2023/9/5
栗　1斤,19,0,2023/9/5
柚子一斤,0,0,2023/9/5
ホイップバター,6,0,2023/9/5
天使のクロワッサン,16,0,2023/9/5
塩トリュフクロワッサン,8,0,2023/9/5
チョコレートクロワッサン,9,0,2023/9/5
ストロベリークロワッサン,3,0,2023/9/5
ホワイトチョコクロワッサン,2,0,2023/9/5
アーモンドダマンドクロワッサン,6,0,2023/9/5
アールグレイダマンドクロワッサン,2,0,2023/9/5
ほうじ茶ダマンドクロワッサン,2,0,2023/9/5
カボチャサラダクロワッサン,1,0,2023/9/5
板チョコバタークロワッサン,0,0,2023/9/5
ソーセージクロワッサン,4,0,2023/9/5
パストラミクロワッサン,2,0,2023/9/5
