item,item_create,item_los,date

プレーン 2斤,12,0,2024/01/02
純生 2斤,13,0,2024/01/02
プレーン　1斤,0,0,2024/01/02
アップルシナモン,0,0,2024/01/02
濃厚ショコラ,8,0,2024/01/02
ほうじ茶とホワイトチョコ,0,0,2024/01/02
プレーン1斤,0,0,2024/01/02
純生1斤,0,0,2024/01/02
ホイップバター,6,0,2024/01/02
天使のクロワッサン,0,0,2024/01/02
塩トリュフクロワッサン,0,0,2024/01/02
チョコレートクロワッサン,0,0,2024/01/02
ストロベリークロワッサン,0,0,2024/01/02
ホワイトチョコクロワッサン,0,0,2024/01/02
アーモンドダマンドクロワッサン,0,0,2024/01/02
アールグレイダマンドクロワッサン,0,0,2024/01/02
ほうじ茶ダマンドクロワッサン,0,0,2024/01/02
抹茶つぶあんダマンド,0,0,2024/01/02
板チョコバタークロワッサン,0,0,2024/01/02
ソーセージクロワッサン,0,0,2024/01/02
明太マヨコロッケクロワッサン,0,0,2024/01/02
ささみカツバーガー,0,0,2024/01/02
アラビアータバーガー,0,0,2024/01/02
照り焼きチキンバーガ,0,0,2024/01/02
明太マヨコロッケバー,0,0,2024/01/02
シーザーサラダバーガ,0,0,2024/01/02
リュスティック,0,0,2024/01/02
悪魔のカレーパン,0,0,2024/01/02
とうもろこしクロックムッシュ,0,0,2024/01/02
明太ペペロンチーノフランス,0,0,2024/01/02
明太チーズオムレツサンド,0,0,2024/01/02
トマトとリコッタのタルティーヌ,0,0,2024/01/02
チョリソーとキャベツのタルティーヌ,0,0,2024/01/02
シラスとキノコのタルティーヌ,0,0,2024/01/02
ハニートースト,0,0,2024/01/02
チョコ　クロワッサンロール,0,0,2024/01/02
ストロベリー　クロワッサンロール,0,0,2024/01/02
きな粉とくるみのあんバター,0,0,2024/01/02
チョコマフィン,0,0,2024/01/02
ストロベリーマフィン,0,0,2024/01/02
フルーツパイ,0,0,2024/01/02
シナモンロール,0,0,2024/01/02
シュガーラスク,0,0,2024/01/02
チョコラスク,0,0,2024/01/02
ストロベリーラスク,0,0,2024/01/02
ホワイトラスク,0,0,2024/01/02
極上プリン カップtak,4,0,2024/01/02
ほうじ茶プリン カッップ,1,0,2024/01/02
極上プリン　ビン　Ta,0,0,2024/01/02
抹茶プリン　take,0,0,2024/01/02
フレンチトーストtake,6,0,2024/01/02
フレンチ【プレーン】,9,0,2024/01/02
フレンチ【ベリー】,1,0,2024/01/02
フレンチ【キャラメル,3,0,2024/01/02
EDWブレックファース,0,0,2024/01/02
バスクチーズtake,3,0,2024/01/02
プレーン 2斤,25,0,2024/01/03
純生 2斤,15,0,2024/01/03
プレーン　1斤,0,0,2024/01/03
アップルシナモン,8,0,2024/01/03
濃厚ショコラ,8,0,2024/01/03
ほうじ茶とホワイトチョコ,8,0,2024/01/03
プレーン1斤,0,0,2024/01/03
純生1斤,0,0,2024/01/03
ホイップバター,9,0,2024/01/03
天使のクロワッサン,37,0,2024/01/03
塩トリュフクロワッサン,16,0,2024/01/03
チョコレートクロワッサン,17,0,2024/01/03
ストロベリークロワッサン,7,0,2024/01/03
ホワイトチョコクロワッサン,6,0,2024/01/03
アーモンドダマンドクロワッサン,6,0,2024/01/03
アールグレイダマンドクロワッサン,6,0,2024/01/03
ほうじ茶ダマンドクロワッサン,6,0,2024/01/03
抹茶つぶあんダマンド,0,0,2024/01/03
板チョコバタークロワッサン,10,0,2024/01/03
ソーセージクロワッサン,8,0,2024/01/03
明太マヨコロッケクロワッサン,0,0,2024/01/03
ささみカツバーガー,6,0,2024/01/03
アラビアータバーガー,6,0,2024/01/03
照り焼きチキンバーガ,2,0,2024/01/03
明太マヨコロッケバー,6,0,2024/01/03
シーザーサラダバーガ,5,0,2024/01/03
リュスティック,0,0,2024/01/03
悪魔のカレーパン,16,0,2024/01/03
とうもろこしクロックムッシュ,6,0,2024/01/03
明太ペペロンチーノフランス,4,0,2024/01/03
明太チーズオムレツサンド,6,0,2024/01/03
トマトとリコッタのタルティーヌ,2,0,2024/01/03
チョリソーとキャベツのタルティーヌ,6,0,2024/01/03
シラスとキノコのタルティーヌ,6,0,2024/01/03
ハニートースト,17,0,2024/01/03
チョコ　クロワッサンロール,5,0,2024/01/03
ストロベリー　クロワッサンロール,2,0,2024/01/03
きな粉とくるみのあんバター,14,0,2024/01/03
チョコマフィン,9,0,2024/01/03
ストロベリーマフィン,5,0,2024/01/03
フルーツパイ,8,0,2024/01/03
シナモンロール,0,0,2024/01/03
シュガーラスク,0,0,2024/01/03
チョコラスク,0,0,2024/01/03
ストロベリーラスク,0,0,2024/01/03
ホワイトラスク,0,0,2024/01/03
極上プリン カップtak,28,0,2024/01/03
ほうじ茶プリン カッップ,9,0,2024/01/03
極上プリン　ビン　Ta,3,0,2024/01/03
抹茶プリン　take,0,0,2024/01/03
フレンチトーストtake,14,0,2024/01/03
フレンチ【プレーン】,9,0,2024/01/03
フレンチ【ベリー】,5,0,2024/01/03
フレンチ【キャラメル,3,0,2024/01/03
EDWブレックファース,4,0,2024/01/03
バスクチーズtake,3,0,2024/01/03
プレーン 2斤,19,0,2024/01/04
純生 2斤,11,0,2024/01/04
プレーン　1斤,0,0,2024/01/04
アップルシナモン,6,0,2024/01/04
濃厚ショコラ,8,0,2024/01/04
ほうじ茶とホワイトチョコ,8,0,2024/01/04
プレーン1斤,0,0,2024/01/04
純生1斤,0,0,2024/01/04
ホイップバター,6,0,2024/01/04
天使のクロワッサン,10,0,2024/01/04
塩トリュフクロワッサン,10,0,2024/01/04
チョコレートクロワッサン,8,0,2024/01/04
ストロベリークロワッサン,9,0,2024/01/04
ホワイトチョコクロワッサン,4,0,2024/01/04
アーモンドダマンドクロワッサン,6,0,2024/01/04
アールグレイダマンドクロワッサン,6,0,2024/01/04
ほうじ茶ダマンドクロワッサン,3,0,2024/01/04
抹茶つぶあんダマンド,0,0,2024/01/04
板チョコバタークロワッサン,6,0,2024/01/04
ソーセージクロワッサン,6,0,2024/01/04
明太マヨコロッケクロワッサン,0,0,2024/01/04
ささみカツバーガー,0,0,2024/01/04
アラビアータバーガー,4,0,2024/01/04
照り焼きチキンバーガ,4,0,2024/01/04
明太マヨコロッケバー,4,0,2024/01/04
シーザーサラダバーガ,4,0,2024/01/04
リュスティック,0,0,2024/01/04
悪魔のカレーパン,14,0,2024/01/04
とうもろこしクロックムッシュ,6,0,2024/01/04
明太ペペロンチーノフランス,4,0,2024/01/04
明太チーズオムレツサンド,6,0,2024/01/04
トマトとリコッタのタルティーヌ,4,0,2024/01/04
チョリソーとキャベツのタルティーヌ,4,0,2024/01/04
シラスとキノコのタルティーヌ,4,0,2024/01/04
ハニートースト,16,0,2024/01/04
チョコ　クロワッサンロール,5,0,2024/01/04
ストロベリー　クロワッサンロール,5,0,2024/01/04
きな粉とくるみのあんバター,7,0,2024/01/04
チョコマフィン,8,0,2024/01/04
ストロベリーマフィン,4,0,2024/01/04
フルーツパイ,6,0,2024/01/04
シナモンロール,0,0,2024/01/04
シュガーラスク,0,0,2024/01/04
チョコラスク,0,0,2024/01/04
ストロベリーラスク,0,0,2024/01/04
ホワイトラスク,0,0,2024/01/04
極上プリン カップtak,8,0,2024/01/04
ほうじ茶プリン カッップ,3,0,2024/01/04
極上プリン　ビン　Ta,2,0,2024/01/04
抹茶プリン　take,0,0,2024/01/04
フレンチトーストtake,8,0,2024/01/04
フレンチ【プレーン】,3,0,2024/01/04
フレンチ【ベリー】,2,0,2024/01/04
フレンチ【キャラメル,2,0,2024/01/04
EDWブレックファース,5,0,2024/01/04
バスクチーズtake,5,0,2024/01/04
プレーン 2斤,17,0,2024/01/05
純生 2斤,10,0,2024/01/05
プレーン　1斤,0,0,2024/01/05
アップルシナモン,4,0,2024/01/05
濃厚ショコラ,8,0,2024/01/05
ほうじ茶とホワイトチョコ,11,0,2024/01/05
プレーン1斤,0,0,2024/01/05
純生1斤,0,0,2024/01/05
ホイップバター,8,0,2024/01/05
天使のクロワッサン,12,0,2024/01/05
塩トリュフクロワッサン,6,0,2024/01/05
チョコレートクロワッサン,8,0,2024/01/05
ストロベリークロワッサン,4,0,2024/01/05
ホワイトチョコクロワッサン,7,0,2024/01/05
アーモンドダマンドクロワッサン,4,0,2024/01/05
アールグレイダマンドクロワッサン,5,0,2024/01/05
ほうじ茶ダマンドクロワッサン,0,0,2024/01/05
抹茶つぶあんダマンド,0,0,2024/01/05
板チョコバタークロワッサン,6,0,2024/01/05
